House number,WFH Type,Operation,Solar,Battery,PV,Cost
1,T1,safe_unidirectional,worst,20.75,1.88571,13920.0
1,T1,safe_unidirectional,best,16.375,1.45714,10920.0
1,T1,hybrid_bidirectional,worst,12.125,1.75714,9510.0
1,T1,hybrid_bidirectional,best,9.0625,1.32857,7140.0
1,T2,safe_unidirectional,worst,15.9375,1.45714,10710.0
1,T2,safe_unidirectional,best,12.0625,1.2,8310.0
1,T2,hybrid_bidirectional,worst,5.875,1.2,5340.0
1,T2,hybrid_bidirectional,best,3.875,0.985714,3930.0
1,T3,safe_unidirectional,best,9.875,0.942857,6720.0
1,T3,hybrid_bidirectional,worst,4.375,0.942857,4080.0
1,T3,hybrid_bidirectional,best,3.25,0.642857,2910.0
2,T1,safe_unidirectional,worst,20.0625,1.97143,13770.0
2,T1,safe_unidirectional,best,15.625,1.5,10650.0
2,T1,hybrid_bidirectional,worst,12.6875,1.75714,9780.0
2,T1,hybrid_bidirectional,best,9.625,1.32857,7410.0
2,T2,safe_unidirectional,worst,16.125,1.45714,10800.0
2,T2,safe_unidirectional,best,11.875,1.2,8220.0
2,T2,hybrid_bidirectional,worst,6.25,1.15714,5430.0
2,T2,hybrid_bidirectional,best,3.875,0.985714,3930.0
2,T3,safe_unidirectional,worst,12.0625,1.32857,8580.0
2,T3,safe_unidirectional,best,9.0625,1.07143,6600.0
2,T3,hybrid_bidirectional,worst,4.25,0.942857,4020.0
2,T3,hybrid_bidirectional,best,3.125,0.642857,2850.0
3,T1,safe_unidirectional,worst,18.25,2.27143,13530.0
3,T1,safe_unidirectional,best,14.125,1.75714,10470.0
3,T1,hybrid_bidirectional,worst,12.125,1.75714,9510.0
3,T1,hybrid_bidirectional,best,8.375,1.45714,7080.0
3,T2,safe_unidirectional,worst,14.125,1.88571,10740.0
3,T2,safe_unidirectional,best,10.25,1.5,8070.0
3,T2,hybrid_bidirectional,worst,5.4375,1.32857,5400.0
3,T2,hybrid_bidirectional,best,3.4375,1.07143,3900.0
3,T3,safe_unidirectional,worst,11.5625,1.45714,8610.0
3,T3,safe_unidirectional,best,8.5,1.15714,6510.0
3,T3,hybrid_bidirectional,worst,4.4375,1.07143,4380.0
3,T3,hybrid_bidirectional,best,2.75,0.857143,3120.0
4,T1,safe_unidirectional,worst,21.375,2.01429,14490.0
4,T1,safe_unidirectional,best,16.0625,1.75714,11400.0
4,T1,hybrid_bidirectional,worst,11.75,1.88571,9600.0
4,T1,hybrid_bidirectional,best,8.8125,1.5,7380.0
4,T2,safe_unidirectional,worst,17.4375,1.67143,11880.0
4,T2,safe_unidirectional,best,12.9375,1.32857,9000.0
4,T2,hybrid_bidirectional,worst,6.1875,1.32857,5760.0
4,T2,hybrid_bidirectional,best,4.25,1.07143,4290.0
4,T3,safe_unidirectional,worst,13.9375,1.45714,9750.0
4,T3,safe_unidirectional,best,10.25,1.15714,7350.0
4,T3,hybrid_bidirectional,best,3.6875,0.771429,3390.0
5,T1,safe_unidirectional,worst,20.0625,2.01429,13860.0
5,T1,hybrid_bidirectional,worst,11.875,1.88571,9660.0
5,T1,hybrid_bidirectional,best,8.875,1.45714,7320.0
5,T2,safe_unidirectional,worst,15.625,1.67143,11010.0
5,T2,safe_unidirectional,best,11.8125,1.32857,8460.0
5,T2,hybrid_bidirectional,worst,5.125,1.32857,5250.0
5,T2,hybrid_bidirectional,best,3.3125,1.07143,3840.0
5,T3,safe_unidirectional,worst,12.5,1.32857,8790.0
5,T3,safe_unidirectional,best,9.8125,0.985714,6780.0
5,T3,hybrid_bidirectional,worst,4.4375,0.985714,4200.0
5,T3,hybrid_bidirectional,best,2.8125,0.771429,2970.0
6,T1,safe_unidirectional,worst,23.0625,3.3,18000.0
6,T1,safe_unidirectional,best,17.125,1.5,11370.0
6,T1,hybrid_bidirectional,worst,14.375,1.8,10680.0
6,T1,hybrid_bidirectional,best,9.625,1.41429,7590.0
6,T2,safe_unidirectional,worst,19.0625,1.41429,12120.0
6,T2,safe_unidirectional,best,14.3125,1.11429,9210.0
6,T2,hybrid_bidirectional,worst,7.5,1.2,6120.0
6,T2,hybrid_bidirectional,best,4.9375,0.942857,4350.0
6,T3,safe_unidirectional,worst,16.0625,1.07143,9960.0
6,T3,safe_unidirectional,best,11.875,0.942857,7680.0
6,T3,hybrid_bidirectional,worst,6.375,0.771429,4680.0
6,T3,hybrid_bidirectional,best,3.8125,0.685714,3270.0
7,T1,safe_unidirectional,worst,19.0625,2.22857,13830.0
7,T1,hybrid_bidirectional,worst,11.625,1.8,9360.0
7,T1,hybrid_bidirectional,best,8.3125,1.41429,6960.0
7,T2,safe_unidirectional,worst,16.0625,1.5,10860.0
7,T2,safe_unidirectional,best,12.125,1.24286,8430.0
7,T2,hybrid_bidirectional,worst,5.375,1.32857,5370.0
7,T2,hybrid_bidirectional,best,4.125,0.942857,3960.0
7,T3,safe_unidirectional,worst,12.0625,1.45714,8850.0
7,T3,safe_unidirectional,best,9.875,0.942857,6720.0
7,T3,hybrid_bidirectional,best,2.8125,0.771429,2970.0
8,T1,safe_unidirectional,worst,20.1875,2.44286,14820.0
8,T1,safe_unidirectional,best,15.75,1.75714,11250.0
8,T1,hybrid_bidirectional,worst,12.5625,1.88571,9990.0
8,T1,hybrid_bidirectional,best,9.9375,1.45714,7830.0
8,T2,safe_unidirectional,worst,16.0625,1.75714,11400.0
8,T2,safe_unidirectional,best,12.375,1.32857,8730.0
8,T2,hybrid_bidirectional,worst,5.875,1.41429,5790.0
8,T2,hybrid_bidirectional,best,3.5625,1.2,4230.0
8,T3,safe_unidirectional,worst,12.6875,1.45714,9150.0
8,T3,safe_unidirectional,best,9.6875,1.07143,6900.0
8,T3,hybrid_bidirectional,worst,4.25,1.2,4560.0
8,T3,hybrid_bidirectional,best,2.6875,0.942857,3270.0
9,T1,safe_unidirectional,worst,21.6875,2.1,14820.0
9,T1,safe_unidirectional,best,14.6875,1.75714,10740.0
9,T1,hybrid_bidirectional,worst,13.875,1.75714,10350.0
9,T1,hybrid_bidirectional,best,9.875,1.45714,7800.0
9,T2,safe_unidirectional,worst,15.9375,1.62857,11070.0
9,T2,safe_unidirectional,best,11.875,1.45714,8760.0
9,T2,hybrid_bidirectional,best,3.9375,1.07143,4140.0
9,T3,safe_unidirectional,worst,12.4375,1.45714,9030.0
9,T3,safe_unidirectional,best,9.5625,1.07143,6840.0
9,T3,hybrid_bidirectional,worst,4.5625,1.07143,4440.0
9,T3,hybrid_bidirectional,best,3.125,0.771429,3120.0
10,T1,safe_unidirectional,worst,22.875,1.88571,14940.0
10,T1,safe_unidirectional,best,16.0625,1.58571,11040.0
10,T1,hybrid_bidirectional,worst,13.125,1.75714,9990.0
10,T1,hybrid_bidirectional,best,9.0625,1.32857,7140.0
10,T2,safe_unidirectional,worst,17.4375,1.45714,11430.0
10,T2,safe_unidirectional,best,13.125,1.11429,8640.0
10,T2,hybrid_bidirectional,worst,5.8125,1.2,5310.0
10,T2,hybrid_bidirectional,best,4.3125,0.814286,3780.0
10,T3,safe_unidirectional,worst,13.625,1.2,9060.0
10,T3,safe_unidirectional,best,11.375,0.771429,7080.0
10,T3,hybrid_bidirectional,worst,5.375,0.771429,4200.0
10,T3,hybrid_bidirectional,best,3.4375,0.642857,3000.0
11,T1,safe_unidirectional,worst,20.8125,4.41429,19260.0
11,T1,safe_unidirectional,best,16.125,1.8,11520.0
11,T1,hybrid_bidirectional,worst,13.0625,1.8,10050.0
11,T1,hybrid_bidirectional,best,9.125,1.41429,7350.0
11,T2,safe_unidirectional,worst,16.75,1.75714,11730.0
11,T2,hybrid_bidirectional,worst,6.25,1.2,5520.0
11,T2,hybrid_bidirectional,best,4.1875,0.9,3900.0
11,T3,safe_unidirectional,worst,14.25,1.41429,9810.0
11,T3,safe_unidirectional,best,10.9375,1.07143,7500.0
11,T3,hybrid_bidirectional,worst,6.4375,0.814286,4800.0
11,T3,hybrid_bidirectional,best,3.875,0.771429,3480.0
12,T1,safe_unidirectional,worst,19.25,2.14286,13740.0
12,T1,safe_unidirectional,best,15.25,1.62857,10740.0
12,T1,hybrid_bidirectional,worst,12.75,1.75714,9810.0
12,T1,hybrid_bidirectional,best,9.4375,1.41429,7500.0
12,T2,safe_unidirectional,worst,16.25,1.45714,10860.0
12,T2,safe_unidirectional,best,11.3125,1.45714,8490.0
12,T2,hybrid_bidirectional,worst,5.4375,1.32857,5400.0
12,T2,hybrid_bidirectional,best,3.5625,1.07143,3960.0
12,T3,safe_unidirectional,worst,12.5,1.28571,8700.0
12,T3,safe_unidirectional,best,9.1875,1.07143,6660.0
12,T3,hybrid_bidirectional,worst,4.625,0.942857,4200.0
12,T3,hybrid_bidirectional,best,2.875,0.771429,3000.0
13,T1,safe_unidirectional,worst,21.75,2.18571,15030.0
13,T1,safe_unidirectional,best,16.5625,1.8,11730.0
13,T1,hybrid_bidirectional,worst,14.3125,1.67143,10380.0
13,T1,hybrid_bidirectional,best,9.9375,1.37143,7650.0
13,T2,safe_unidirectional,worst,16.875,1.84286,11970.0
13,T2,safe_unidirectional,best,12.6875,1.45714,9150.0
13,T2,hybrid_bidirectional,worst,6.25,1.24286,5610.0
13,T2,hybrid_bidirectional,best,3.9375,1.07143,4140.0
13,T3,safe_unidirectional,worst,13.9375,1.45714,9750.0
13,T3,safe_unidirectional,best,10.9375,1.07143,7500.0
13,T3,hybrid_bidirectional,worst,4.75,1.07143,4530.0
13,T3,hybrid_bidirectional,best,3.4375,0.814286,3360.0
14,T1,safe_unidirectional,worst,22.375,2.01429,14970.0
14,T1,safe_unidirectional,best,16.5,1.62857,11340.0
14,T1,hybrid_bidirectional,worst,12.75,1.8,9900.0
14,T1,hybrid_bidirectional,best,9.25,1.45714,7500.0
14,T2,safe_unidirectional,worst,16.3125,1.75714,11520.0
14,T2,safe_unidirectional,best,13.75,1.15714,9030.0
14,T2,hybrid_bidirectional,worst,5.8125,1.28571,5490.0
14,T3,safe_unidirectional,best,10.625,0.942857,7080.0
14,T3,hybrid_bidirectional,worst,5.3125,0.942857,4530.0
14,T3,hybrid_bidirectional,best,3.4375,0.728571,3180.0
15,T1,safe_unidirectional,worst,22.8125,2.61429,16440.0
15,T1,safe_unidirectional,best,16.8125,1.62857,11490.0
15,T1,hybrid_bidirectional,worst,11.125,1.88571,9300.0
15,T1,hybrid_bidirectional,best,8.625,1.41429,7110.0
15,T2,safe_unidirectional,worst,16.875,1.62857,11520.0
15,T2,hybrid_bidirectional,worst,5.9375,1.28571,5550.0
15,T2,hybrid_bidirectional,best,3.875,0.985714,3930.0
15,T3,safe_unidirectional,worst,14.6875,1.28571,9750.0
15,T3,safe_unidirectional,best,10.375,1.07143,7230.0
15,T3,hybrid_bidirectional,worst,5.3125,0.942857,4530.0
15,T3,hybrid_bidirectional,best,3.3125,0.771429,3210.0
16,T1,safe_unidirectional,worst,22.875,2.57143,16380.0
16,T1,safe_unidirectional,best,16.1875,2.01429,12000.0
16,T1,hybrid_bidirectional,worst,12.375,1.88571,9900.0
16,T1,hybrid_bidirectional,best,9.3125,1.45714,7530.0
16,T2,safe_unidirectional,worst,16.4375,2.27143,12660.0
16,T2,safe_unidirectional,best,12.1875,1.88571,9810.0
16,T2,hybrid_bidirectional,worst,6.5,1.45714,6180.0
16,T2,hybrid_bidirectional,best,4.125,1.2,4500.0
16,T3,safe_unidirectional,worst,14.375,1.75714,10590.0
16,T3,safe_unidirectional,best,10.5625,1.41429,8040.0
16,T3,hybrid_bidirectional,worst,4.8125,1.45714,5370.0
16,T3,hybrid_bidirectional,best,3.375,1.07143,3870.0
17,T1,safe_unidirectional,worst,23.75,1.84286,15270.0
17,T1,safe_unidirectional,best,16.4375,1.41429,10860.0
17,T1,hybrid_bidirectional,worst,12.375,1.75714,9630.0
17,T1,hybrid_bidirectional,best,9.375,1.41429,7470.0
17,T2,safe_unidirectional,worst,17.6875,1.37143,11370.0
17,T2,safe_unidirectional,best,13.75,0.985714,8670.0
17,T2,hybrid_bidirectional,worst,6.4375,1.07143,5340.0
17,T2,hybrid_bidirectional,best,4.5625,0.814286,3900.0
17,T3,safe_unidirectional,worst,15.6875,0.771429,9150.0
17,T3,safe_unidirectional,best,11.4375,0.642857,6840.0
17,T3,hybrid_bidirectional,worst,5.875,0.642857,4170.0
17,T3,hybrid_bidirectional,best,4.125,0.514286,3060.0
18,T1,safe_unidirectional,worst,21.5625,2.14286,14850.0
18,T1,safe_unidirectional,best,15.25,1.75714,11010.0
18,T1,hybrid_bidirectional,worst,13.3125,1.75714,10080.0
18,T1,hybrid_bidirectional,best,9.125,1.5,7530.0
18,T2,safe_unidirectional,worst,16.5,1.62857,11340.0
18,T2,safe_unidirectional,best,12.1875,1.32857,8640.0
18,T2,hybrid_bidirectional,worst,5.8125,1.28571,5490.0
18,T2,hybrid_bidirectional,best,4.1875,0.985714,4080.0
18,T3,safe_unidirectional,worst,13.5,1.32857,9270.0
18,T3,safe_unidirectional,best,9.8125,1.07143,6960.0
18,T3,hybrid_bidirectional,worst,4.1875,1.11429,4350.0
18,T3,hybrid_bidirectional,best,3.1875,0.771429,3150.0
19,T1,safe_unidirectional,worst,24.625,1.92857,15870.0
19,T1,safe_unidirectional,best,17.0625,1.45714,11250.0
19,T1,hybrid_bidirectional,worst,12.3125,1.75714,9600.0
19,T1,hybrid_bidirectional,best,8.8125,1.41429,7200.0
19,T2,safe_unidirectional,best,13.4375,1.2,8970.0
19,T2,hybrid_bidirectional,worst,6.4375,1.2,5610.0
19,T2,hybrid_bidirectional,best,4.3125,0.942857,4050.0
19,T3,safe_unidirectional,worst,14.25,1.2,9360.0
19,T3,safe_unidirectional,best,11.125,0.9,7230.0
19,T3,hybrid_bidirectional,worst,5.4375,0.942857,4590.0
19,T3,hybrid_bidirectional,best,3.4375,0.685714,3090.0
20,T1,safe_unidirectional,worst,18.4375,2.27143,13620.0
20,T1,safe_unidirectional,best,15.75,1.45714,10620.0
20,T1,hybrid_bidirectional,worst,11.3125,1.88571,9390.0
20,T1,hybrid_bidirectional,best,8.5625,1.45714,7170.0
20,T2,safe_unidirectional,worst,16.1875,1.5,10920.0
20,T2,safe_unidirectional,best,11.5625,1.24286,8160.0
20,T2,hybrid_bidirectional,worst,5.25,1.32857,5310.0
20,T2,hybrid_bidirectional,best,4.1875,0.942857,3990.0
20,T3,safe_unidirectional,worst,13.0625,1.07143,8520.0
20,T3,hybrid_bidirectional,worst,4.8125,0.9,4200.0
20,T3,hybrid_bidirectional,best,3.125,0.728571,3030.0
21,T1,safe_unidirectional,worst,23.9375,1.97143,15630.0
21,T1,safe_unidirectional,best,15.625,1.62857,10920.0
21,T1,hybrid_bidirectional,best,7.625,1.32857,6450.0
21,T2,safe_unidirectional,worst,16.75,1.62857,11460.0
21,T2,hybrid_bidirectional,worst,5.9375,1.2,5370.0
21,T2,hybrid_bidirectional,best,3.8125,0.942857,3810.0
21,T3,safe_unidirectional,worst,13.75,1.2,9120.0
21,T3,safe_unidirectional,best,10.4375,0.942857,6990.0
22,T1,safe_unidirectional,worst,19.5625,2.14286,13890.0
22,T1,safe_unidirectional,best,14.875,1.8,10920.0
22,T1,hybrid_bidirectional,worst,13.875,1.88571,10620.0
22,T1,hybrid_bidirectional,best,9.9375,1.45714,7830.0
22,T2,safe_unidirectional,worst,14.75,1.75714,10770.0
22,T2,safe_unidirectional,best,11.6875,1.32857,8400.0
22,T2,hybrid_bidirectional,worst,5.625,1.41429,5670.0
22,T2,hybrid_bidirectional,best,3.625,1.15714,4170.0
22,T3,safe_unidirectional,worst,11.625,1.5,8730.0
22,T3,safe_unidirectional,best,9.5,1.07143,6810.0
22,T3,hybrid_bidirectional,worst,3.9375,1.2,4410.0
22,T3,hybrid_bidirectional,best,2.5625,0.857143,3030.0
23,T1,safe_unidirectional,worst,22.125,3.94286,18900.0
23,T1,safe_unidirectional,best,18.1875,1.62857,12150.0
23,T1,hybrid_bidirectional,worst,13.125,1.75714,9990.0
23,T1,hybrid_bidirectional,best,10.375,1.37143,7860.0
23,T2,safe_unidirectional,worst,19.8125,1.62857,12930.0
23,T2,safe_unidirectional,best,14.5625,1.32857,9780.0
23,T2,hybrid_bidirectional,worst,7.3125,1.2,6030.0
23,T2,hybrid_bidirectional,best,4.9375,0.942857,4350.0
23,T3,safe_unidirectional,worst,16.0625,1.32857,10500.0
23,T3,safe_unidirectional,best,12.5,1.07143,8250.0
23,T3,hybrid_bidirectional,worst,6.25,0.942857,4980.0
23,T3,hybrid_bidirectional,best,3.8125,0.771429,3450.0
24,T1,safe_unidirectional,worst,22.3125,3.34286,17730.0
24,T1,safe_unidirectional,best,14.875,1.92857,11190.0
24,T1,hybrid_bidirectional,worst,13.125,1.88571,10260.0
24,T1,hybrid_bidirectional,best,8.5,1.5,7230.0
24,T2,safe_unidirectional,worst,16.9375,1.88571,12090.0
24,T2,safe_unidirectional,best,12.375,1.45714,9000.0
24,T2,hybrid_bidirectional,worst,5.5,1.32857,5430.0
24,T2,hybrid_bidirectional,best,3.4375,1.07143,3900.0
24,T3,safe_unidirectional,worst,14.5625,1.32857,9780.0
24,T3,safe_unidirectional,best,10.5625,1.07143,7320.0
24,T3,hybrid_bidirectional,worst,4.8125,1.07143,4560.0
24,T3,hybrid_bidirectional,best,3.125,0.814286,3210.0
25,T1,hybrid_bidirectional,worst,12.6875,1.97143,10230.0
25,T1,hybrid_bidirectional,best,9.9375,1.37143,7650.0
25,T2,safe_unidirectional,worst,13.875,1.88571,10620.0
25,T2,safe_unidirectional,best,11.875,1.28571,8400.0
25,T2,hybrid_bidirectional,worst,5.75,1.32857,5550.0
25,T2,hybrid_bidirectional,best,3.75,1.07143,4050.0
25,T3,safe_unidirectional,worst,11.5625,1.32857,8340.0
25,T3,safe_unidirectional,best,8.375,1.15714,6450.0
25,T3,hybrid_bidirectional,worst,3.875,1.07143,4110.0
25,T3,hybrid_bidirectional,best,2.875,0.771429,3000.0
26,T1,safe_unidirectional,worst,21.6875,2.22857,15090.0
26,T1,safe_unidirectional,best,15.1875,1.92857,11340.0
26,T1,hybrid_bidirectional,worst,12.25,2.01429,10110.0
26,T1,hybrid_bidirectional,best,9.625,1.5,7770.0
26,T2,safe_unidirectional,worst,16.75,1.75714,11730.0
26,T2,safe_unidirectional,best,12.5625,1.45714,9090.0
26,T2,hybrid_bidirectional,worst,5.75,1.32857,5550.0
26,T2,hybrid_bidirectional,best,3.9375,1.07143,4140.0
26,T3,safe_unidirectional,worst,13.3125,1.45714,9450.0
26,T3,safe_unidirectional,best,10.1875,1.2,7410.0
26,T3,hybrid_bidirectional,worst,5.1875,1.07143,4740.0
26,T3,hybrid_bidirectional,best,3.4375,0.857143,3450.0
27,T1,safe_unidirectional,best,14.75,1.75714,10770.0
27,T1,hybrid_bidirectional,worst,11.9375,1.88571,9690.0
27,T1,hybrid_bidirectional,best,8.625,1.41429,7110.0
27,T2,safe_unidirectional,worst,16.1875,1.62857,11190.0
27,T2,safe_unidirectional,best,12.0625,1.32857,8580.0
27,T2,hybrid_bidirectional,worst,5.4375,1.32857,5400.0
27,T2,hybrid_bidirectional,best,3.9375,0.942857,3870.0
27,T3,safe_unidirectional,worst,12.3125,1.5,9060.0
27,T3,hybrid_bidirectional,worst,4.5,1.07143,4410.0
27,T3,hybrid_bidirectional,best,3.125,0.814286,3210.0
28,T1,safe_unidirectional,worst,22.4375,2.14286,15270.0
28,T1,safe_unidirectional,best,15.6875,1.88571,11490.0
28,T1,hybrid_bidirectional,worst,11.75,1.88571,9600.0
28,T1,hybrid_bidirectional,best,9.25,1.41429,7410.0
28,T2,safe_unidirectional,worst,16.6875,1.75714,11700.0
28,T2,safe_unidirectional,best,12.375,1.45714,9000.0
28,T2,hybrid_bidirectional,worst,5.875,1.32857,5610.0
28,T2,hybrid_bidirectional,best,4.25,0.985714,4110.0
28,T3,safe_unidirectional,worst,13.875,1.45714,9720.0
28,T3,safe_unidirectional,best,9.75,1.24286,7290.0
28,T3,hybrid_bidirectional,best,3.1875,0.942857,3510.0
29,T1,safe_unidirectional,worst,18.9375,2.22857,13770.0
29,T1,safe_unidirectional,best,14.1875,1.88571,10770.0
29,T1,hybrid_bidirectional,worst,12.1875,2.05714,10170.0
29,T1,hybrid_bidirectional,best,9.5625,1.45714,7650.0
29,T2,safe_unidirectional,worst,14.3125,1.88571,10830.0
29,T2,safe_unidirectional,best,11.3125,1.45714,8490.0
29,T2,hybrid_bidirectional,worst,5.5625,1.32857,5460.0
29,T2,hybrid_bidirectional,best,4.1875,0.942857,3990.0
29,T3,safe_unidirectional,worst,11.625,1.5,8730.0
29,T3,safe_unidirectional,best,9.1875,1.07143,6660.0
29,T3,hybrid_bidirectional,worst,3.75,1.2,4320.0
29,T3,hybrid_bidirectional,best,2.3125,0.942857,3090.0
30,T1,safe_unidirectional,worst,18.5,2.44286,14010.0
30,T1,safe_unidirectional,best,14.3125,1.92857,10920.0
30,T1,hybrid_bidirectional,worst,12.375,1.88571,9900.0
30,T1,hybrid_bidirectional,best,9.125,1.41429,7350.0
30,T2,safe_unidirectional,worst,14.25,1.88571,10800.0
30,T2,safe_unidirectional,best,11.25,1.45714,8460.0
30,T2,hybrid_bidirectional,worst,4.875,1.45714,5400.0
30,T2,hybrid_bidirectional,best,3.25,1.15714,3990.0
30,T3,safe_unidirectional,worst,11.75,1.5,8790.0
30,T3,safe_unidirectional,best,9.0625,1.15714,6780.0
30,T3,hybrid_bidirectional,worst,3.6875,1.2,4290.0
30,T3,hybrid_bidirectional,best,2.5,0.942857,3180.0
31,T1,safe_unidirectional,worst,23.9375,2.27143,16260.0
31,T1,safe_unidirectional,best,16.875,1.75714,11790.0
31,T1,hybrid_bidirectional,worst,11.625,1.88571,9540.0
31,T1,hybrid_bidirectional,best,7.625,1.45714,6720.0
31,T2,safe_unidirectional,worst,17.5,1.75714,12090.0
31,T2,safe_unidirectional,best,13.25,1.45714,9420.0
31,T2,hybrid_bidirectional,worst,6.1875,1.32857,5760.0
31,T2,hybrid_bidirectional,best,4.1875,1.07143,4260.0
31,T3,safe_unidirectional,worst,14.1875,1.62857,10230.0
31,T3,safe_unidirectional,best,11.375,1.07143,7710.0
31,T3,hybrid_bidirectional,worst,5.1875,1.2,5010.0
31,T3,hybrid_bidirectional,best,3.375,0.942857,3600.0
32,T1,safe_unidirectional,best,17.875,1.84286,12450.0
32,T1,hybrid_bidirectional,worst,13.75,1.75714,10290.0
32,T1,hybrid_bidirectional,best,9.5625,1.32857,7380.0
32,T2,safe_unidirectional,worst,19.25,1.67143,12750.0
32,T2,safe_unidirectional,best,15.125,1.32857,10050.0
32,T2,hybrid_bidirectional,worst,6.875,1.28571,6000.0
32,T2,hybrid_bidirectional,best,4.4375,1.02857,4290.0
32,T3,safe_unidirectional,worst,16.3125,1.41429,10800.0
32,T3,safe_unidirectional,best,12.4375,1.11429,8310.0
32,T3,hybrid_bidirectional,worst,5.875,1.2,5340.0
32,T3,hybrid_bidirectional,best,4.375,0.771429,3720.0
33,T1,safe_unidirectional,worst,20.4375,2.14286,14310.0
33,T1,safe_unidirectional,best,15.8125,1.62857,11010.0
33,T1,hybrid_bidirectional,worst,12.75,1.88571,10080.0
33,T1,hybrid_bidirectional,best,9.1875,1.45714,7470.0
33,T2,safe_unidirectional,worst,16.3125,1.62857,11250.0
33,T2,safe_unidirectional,best,12.875,1.2,8700.0
33,T2,hybrid_bidirectional,worst,6.25,1.2,5520.0
33,T2,hybrid_bidirectional,best,4.3125,0.942857,4050.0
33,T3,safe_unidirectional,worst,13.75,1.28571,9300.0
33,T3,safe_unidirectional,best,9.9375,1.07143,7020.0
33,T3,hybrid_bidirectional,worst,5.0625,0.942857,4410.0
33,T3,hybrid_bidirectional,best,3.1875,0.771429,3150.0
34,T1,safe_unidirectional,worst,19.1875,2.14286,13710.0
34,T1,safe_unidirectional,best,14.25,1.75714,10530.0
